studycross,sp 1,sp 2,estimated_time_timetree,
Albertson_2003 A,Labeotropheus fuelleborni,Metriaclima zebra,0.878,
Barson_2007 A,Pseudotropheus zebra,Pseudotropheus zebragold,NA,
Bendall_2017 A,Neodiprion pinetum,Neodiprion lecontei,NA,
Bertel_2016 A,Heliosperma pusillum,Heliosperma veselskyi,NA,
Blankers_2015 A,Gryllus rubens,Gryllus texensis,NA,called the same species
Bog_2017 A,Senecio hercynicus,Senecio ovatus,NA,
Bog_2017 B,Senecio ovatus,Senecio germanicus,NA,
Bradshaw_1998 A,Mimulus cardinalis,Mimulus lewisii,5.5,
Brodie_1997 A,Chondrus pinnulatus,Chondrus armatus,NA,
Brothers_2013 A,Iris fulva,Iris hexagona,NA,called same
BYRNE_1994 A,Patiriella calcar,Patiriella gunnii,NA,
Campbell_2005 A,Ipomopsis aggregata,Ipomopsis tenuituba,NA,
Chen_2013a A,Costus allenii,Costus villosissimus,NA,
Chen_2013b A,Mimulus guttatus,Mimulus platycalyx,NA,
Chen_2013b B,Mimulus guttatus,Mimulus micranthus,1.02,
Chen_2013b C,Mimulus platycalyx,Mimulus micranthus,NA,
Concannon_2015 A,Labeotropheus fuelleborni,Tropheops red,NA,
David_2002 A,Drosophila simulans,Drosophila melanogaster,5.9,
David_2002 B,Drosophila simulans,Drosophila melanogaster,5.9,
David_2002 C,Drosophila simulans,Drosophila melanogaster,5.9,
David_2002 D,Drosophila simulans,Drosophila melanogaster,5.9,
David_2002 E,Drosophila simulans,Drosophila melanogaster,5.9,
David_2002 F,Drosophila simulans,Drosophila melanogaster,5.9,
David_2002 G,Drosophila simulans,Drosophila melanogaster,5.9,
David_2002 H,Drosophila simulans,Drosophila melanogaster,5.9,
David_2002 I,Drosophila simulans,Drosophila melanogaster,5.9,
Driebe_2000 A,Populus angustifolia,Populus fremontii,NA,considered the same
Emms_2000 A,Iris hexagona,Iris fulva,NA,
Favre_2011 A,Silene dioica,Silene latifolia,2.91,
FENSTER_1994b A,Mimulus micranthus,Mimulus guttatus,1.02,micranthus is arvensis
