"","StudyCross","first","second","GenDist","PA","StudyID","parents.space","Cross_ID","ParentID","Species_or_CrossType"
"1","Bertel_2016_A","Heliosperma veselskyi","Heliosperma pusillum",0.00269108727959192,"Plant","Bertel_2016","Heliosperma pusillum","A","A","Heliosperma pusillum"
"2","Bertel_2016_A","Heliosperma veselskyi","Heliosperma pusillum",0.00269108727959192,"Plant","Bertel_2016","Heliosperma veselskyi","A","B","Heliosperma veselskyi"
"3","Bradshaw_1998_A","Mimulus lewisii","Mimulus cardinalis",0.00327868852459016,"Plant","Bradshaw_1998","Mimulus cardinalis","A","A","Mimulus cardinalis"
"4","Bradshaw_1998_A","Mimulus lewisii","Mimulus cardinalis",0.00327868852459016,"Plant","Bradshaw_1998","Mimulus lewisii","A","B","Mimulus lewisii"
"5","Brodie_1997_A","Chondrus pinnulatus","Chondrus armatus",0.0128205128205128,"Plant","Brodie_1997","Chondrus armatus","A","A","Chondrus armatus"
"6","Brodie_1997_A","Chondrus pinnulatus","Chondrus armatus",0.0128205128205128,"Plant","Brodie_1997","Chondrus pinnulatus","A","B","Chondrus pinnulatus"
"7","Campbell_2007_A","Ipomopsis tenuituba","Ipomopsis aggregata",0.00523731587561375,"Plant","Campbell_2007","Ipomopsis aggregata","A","A","Ipomopsis aggregata"
"8","Campbell_2007_A","Ipomopsis tenuituba","Ipomopsis aggregata",0.00523731587561375,"Plant","Campbell_2007","Ipomopsis tenuituba","A","B","Ipomopsis tenuituba"
"9","Chen_2013_A","Costus villosissimus","Costus allenii",0.0100840336134454,"Plant",NA,NA,NA,NA,NA
"10","Favre_2011_A","Silene latifolia","Silene dioica",0.0100868232890705,"Plant","Favre_2011","Silene dioica","A","A","Silene dioica"
"11","Favre_2011_A","Silene latifolia","Silene dioica",0.0100868232890705,"Plant","Favre_2011","Silene latifolia","A","B","Silene latifolia"
"12","FENSTER_1994b_A","Mimulus micranthus","Mimulus guttatus",0.00170940170940171,"Plant","FENSTER_1994b","Mimulus guttatus e1989","A","A","Mimulus guttatus"
"13","FENSTER_1994b_A","Mimulus micranthus","Mimulus guttatus",0.00170940170940171,"Plant","FENSTER_1994b","Mimulus micranthus e1989","A","B","Mimulus micranthus"
"14","FENSTER_1995_A","Mimulus micranthus","Mimulus guttatus",0.00170940170940171,"Plant","FENSTER_1995","Mimulus guttatus","A","A","Mimulus guttatus"
"15","FENSTER_1995_A","Mimulus micranthus","Mimulus guttatus",0.00170940170940171,"Plant","FENSTER_1995","Mimulus micranthus","A","B","Mimulus micranthus"
"16","Ippolito_2004_A","Nicotiana forgetiana","Nicotiana alata",0.00720164609053499,"Plant","Ippolito_2004","Nicotiana alata","A","A","Nicotiana alata"
"17","Ippolito_2004_A","Nicotiana forgetiana","Nicotiana alata",0.00720164609053499,"Plant","Ippolito_2004","Nicotiana forgetiana","A","B","Nicotiana forgetiana"
"18","Jacquemyn_2012_A","Orchis purpurea","Orchis militaris",0.0255591054313099,"Plant","Jacquemyn_2012","Orchis militaris","A","A","Orchis militaris"
"19","Jacquemyn_2012_A","Orchis purpurea","Orchis militaris",0.0255591054313099,"Plant","Jacquemyn_2012","Orchis purpurea","A","B","Orchis purpurea"
"20","Kimball_2009_NA","Penstemon newberryi","Penstemon davidsonii",0.00436974789915967,"Plant",NA,NA,NA,NA,NA
"21","Koelling_2010_A","Leavenworthia crassa","Leavenworthia alabamica",0.00223713646532438,"Plant","Koelling_2010","Leavenworthia alabamica","A","A","Leavenworthia alabamica"
"22","Koelling_2010_A","Leavenworthia crassa","Leavenworthia alabamica",0.00223713646532438,"Plant","Koelling_2010","Leavenworthia crassa","A","B","Leavenworthia crassa"
"23","Larcombe_2016_A","Eucalyptus nitens","Eucalyptus globulus",0.00458688446969697,"Plant","Larcombe_2016","Eucalyptus globulus","A","A","Eucalyptus globulus"
"24","Larcombe_2016_A","Eucalyptus nitens","Eucalyptus globulus",0.00458688446969697,"Plant","Larcombe_2016","Eucalyptus nitens","A","B","Eucalyptus nitens"
"25","Moccia_2007_A","Anacamptis papilionacea","Anacamptis morio",0.232830820770519,"Plant","Moccia_2007","Anacamptis morio","A","A","Anacamptis morio"
"26","Moccia_2007_A","Anacamptis papilionacea","Anacamptis morio",0.232830820770519,"Plant","Moccia_2007","Anacamptis papilionacea","A","B","Anacamptis papilionacea"
"27","Nakazato_2013_A","Ipomopsis tenuifolia","Ipomopsis guttata",0.00241935483870967,"Plant","Nakazato_2013","Ipomopsis guttata","A","A","Ipomopsis guttata"
"28","Nakazato_2013_A","Ipomopsis tenuifolia","Ipomopsis guttata",0.00241935483870967,"Plant","Nakazato_2013","Ipomopsis tenuifolia","A","B","Ipomopsis tenuifolia"
"29","Piwczynski_2013_A","Vaccinium vitis-idaea","Vaccinium myrtillus",0.0264705882352941,"Plant","Piwczynski_2013","Vaccinium myrtillus","A","A","Vaccinium myrtillus"
"30","Piwczynski_2013_A","Vaccinium vitis-idaea","Vaccinium myrtillus",0.0264705882352941,"Plant","Piwczynski_2013","Vaccinium vitis-idaea","A","B","Vaccinium vitis-idaea"
"31","Ruhsam_2011_A","Geum urbanum","Geum rivale",0.0115511551155116,"Plant","Ruhsam_2011","Geum rivale","A","A","Geum rivale"
