ROWID,AU,TI,SO,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA,1stScreen.result,1stScreen.note,1stScreen.CheckedBy,2ndScreen,2ndScreen.Checker,2ndScreen.Notes,DataColl.Notes,Collector
522,"Dowling, DK; Abiega, KC; Arnqvist, G",Temperature-specific outcomes of cytoplasmic-nuclear interactions on egg-to-adult development time in seed beetles,EVOLUTION,2007,62,1,,,,,226,233,,10.1111/j.1558-5646.2007.00285.x,,,,,,,,WOS:000252108700020,18053072,,,,,ambig.design,,KT,,,,,
659,"Hobel, G; Gerhardt, HC",Reproductive character displacement in the acoustic communication system of green tree frogs (Hyla cinerea),EVOLUTION,2003,57,12,,,,,2703,2720,,10.1111/j.0014-3820.2003.tb01514.x,,,,,,,,WOS:000188061800004,14761051,,,,,ambig.design,the hybrids seem to be 'hypothetical'; and also not clearly f1,KT,,,,,
706,"Turgeon, J; Bernatchez, L",Clinal variation at microsatellite loci reveals historical secondary intergradation between glacial races of Coregonus artedi (Teleostei : Coregoninae),EVOLUTION,2001,56,11,,,,,2252,2261,,,,,,,,,,WOS:000179683100014,12487355,,,,,ambig.design,,KT,,,,,
786,"Jaenike, J",Suppression of sex-ratio meiotic drive and the maintenance of Y-chromosome polymorphism in Drosophila,EVOLUTION,1999,54,4,,,,,1102,1115,,,,,,,,,,WOS:000089317900003,11005280,,,,,ambig.design,,KT,,,,,
837,"Semlitsch, RD; Hotz, H; Guex, GD",Competition among tadpoles of coexisting hemiclones of hybridogenetic Rana esculenta: Support for the frozen niche variation model,EVOLUTION,1997,52,5,,,,,1507,1513,,10.1111/j.1558-5646.1998.tb02033.x,,,,,,,,WOS:000076931100028,28565390,,,,,ambig.design,,KT,,,,,
840,"Hostert, EE",Reinforcement: A new perspective on an old controversy,EVOLUTION,1997,52,4,,,,,1067,1079,,10.2307/2411237,,,,,,,,WOS:000075753100012,28565214,,,,,ambig.design,,KT,,,,,
986,"HAGEN, RH","POPULATION-STRUCTURE AND HOST USE IN HYBRIDIZING SUBSPECIES OF PAPILIO-GLAUCUS (LEPIDOPTERA, PAPILIONIDAE)",EVOLUTION,1990,46,5,,,,,1584,1587,,10.2307/2409965,,,,,,,,WOS:A1992JV37100031,28569002,,,,,ambig.design,also fitness only,KT,,,,,
1068,"COOK, LM",INHERITANCE OF SHELL SIZE IN THE SNAIL ARIANTA-ARBUSTORUM,EVOLUTION,1965,36,3,,,,,535,552,,10.2307/2408099,,,,,,,,WOS:A1982NW50700009,28568047,,,,,ambig.design,Does not seem like there were interpopulation crosses (hybrids),KT,,,,,
1168,"Hollander, J; Galindo, J; Butlin, RK",Selection on outlier loci and their association with adaptive phenotypes in Littorina saxatilis contact zones,JOURNAL OF EVOLUTIONARY BIOLOGY,2015,30,1,,,,,81,95,,10.1111/jeb.12989,,,,,,,,WOS:000394852200007,27732753,,,,,ambig.design,no phenotypes,KT,,,,,
1265,"Weyeneth, N; Goodman, SM; Appleton, B; Wood, R; Ruedi, M",Wings or winds: inferring bat migration in a stepping-stone archipelago,JOURNAL OF EVOLUTIONARY BIOLOGY,2011,26,1,,,,,76,87,,10.1111/jeb.12028,,,,,,,,WOS:000312543700007,23163399,,,,,ambig.design,,KT,,,,,
1379,"Cooley, JR; Marshall, DC; Hill, KBR; Simon, C",Reconstructing asymmetrical reproductive character displacement in a periodical cicada contact zone,JOURNAL OF EVOLUTIONARY BIOLOGY,2006,21,2,,,,,551,555,,10.1111/j.1420-9101.2007.01486.x,,,,,,,,WOS:000252965500015,18194231,,,,,ambig.design,,KT,,,,,
1380,"Telschow, A; Engelstadter, J; Yamamura, N; Hammerstein, P; Hurst, GDD",Asymmetric gene flow and constraints on adaptation caused by sex ratio distorters,JOURNAL OF EVOLUTIONARY BIOLOGY,2006,21,2,,,,,588,597,,10.1111/j.1420-9101.2007.01476.x,,,,,,,,WOS:000252965500020,18205785,,,,,ambig.design,,KT,,,,,
1385,"Van Herwerden, L; Doherty, PJ","Contrasting genetic structures across two hybrid zones of a tropical reef fish, Acanthochromis polyacanthus (Bleeker 1855)",JOURNAL OF EVOLUTIONARY BIOLOGY,2006,20,6,,,,,2173,2180,,10.1111/j.1420-9101.2007.01427.x,,,,,,,,WOS:000250298300010,17887972,,,,,ambig.design,,KT,,,,,
1502,"Giessler, S",Analysis of reticulate relationships within the Daphnia longispina species complex. Allozyme phenotype and morphology,JOURNAL OF EVOLUTIONARY BIOLOGY,1997,14,5,,,,,805,814,,10.1046/j.1420-9101.2001.00321.x,,,,,,,,WOS:000171794300013,,,,,,ambig.design,,KT,,,,,
1511,"Lima, NRW; Kobak, CJ; Vrijenhoek, RC",Evolution of sexual mimicry in sperm-dependent all-female forms of Poeciliopsis (Pisces: Poeciliidae),JOURNAL OF EVOLUTIONARY BIOLOGY,1996,13,5,,,,,756,765,,,,,,,,,,WOS:000089397700004,,,,,,ambig.design,,KT,,,,,
1787,"Johnsen, A; Delhey, K; Andersson, S; Kempenaers, B","Plumage colour in nestling blue tits: sexual dichromatism, condition dependence and genetic effects",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2003,273,1594,,,,,1603,1611,,10.1098/rspb.2006.3493,,,,,,,,WOS:000238536300004,16769630,,,,,ambig.design,,KT,,,,,
1798,"Kamo, M; Ghirlanda, S; Enquist, M",The evolution of signal form: effects of learned versus inherited recognition,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2002,272,1580,,,,,2491,2497,,10.1098/rspb.2005.3242,,,,,,,,WOS:000233751700007,16271974,,,,,ambig.design,,KT,,,,,
1803,"Saccheri, IJ; Brakefield, PM",Rapid spread of immigrant genomes into inbred populations,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2002,272,1574,,,,,1795,1802,,10.1098/rspb.2005.3168,,,,,,,,WOS:000231703700008,16096091,,,,,ambig.design,,KT,,,,,
2093,"Greenwood, AK; Jones, FC; Chan, YF; Brady, SD; Absher, DM; Grimwood, J; Schmutz, J; Myers, RM; Kingsley, DM; Peichel, CL",The genetic basis of divergent pigment patterns in juvenile threespine sticklebacks,HEREDITY,2011,111,4,,,,,293,305,,10.1038/hdy.2013.49,,,,,,,,WOS:000324580600004,23759727,,,,,ambig.design,no f1s measured,KT,,,,,
2536,"Pannell, J",Mixed genetic and environmental sex determination in an androdioecious population of Mercurialis annua,HEREDITY,1997,81,,2,,,,156,163,,10.1038/sj.hdy.6883880,,,,,,,,WOS:000075635500004,,,,,,ambig.design,,KD,,,,,
2563,"Spaak, P","Temporal changes in the genetic structure of the Daphnia species complex in Tjeukemeer, with evidence for backcrossing",HEREDITY,1996,80,,1,,,,33,39,,10.1046/j.1365-2540.1998.00263.x,,,,,,,,WOS:000071803600005,9474774,,,,,ambig.design,individual F1 hybrids could not be distinguished from backcrosses within the hybrid group,KD,,,,,
2617,"HURST, GDD; PURVIS, EL; SLOGGETT, JJ; MAJERUS, MEN",THE EFFECT OF INFECTION WITH MALE-KILLING RICKETTSIA ON THE DEMOGRAPHY OF FEMALE ADALIA-BIPUNCTATA L. (2-SPOT LADYBIRD),HEREDITY,1994,77,,2,,,,177,185,,10.1038/hdy.1996.122,,,,,,,,WOS:A1996VB53400007,8760399,,,,,ambig.design,no hybrids,KD,,,,,
2645,"CRUZAN, MB; HAMRICK, JL; ARNOLD, ML; BENNETT, BD",MATING SYSTEM VARIATION IN HYBRIDIZING IRISES - EFFECTS OF PHENOLOGY AND FLORAL DENSITIES ON FAMILY OUTCROSSING RATES,HEREDITY,1994,75,,4,,,,331,341,,10.1038/hdy.1995.144,,,,,,,,WOS:A1995TA32100001,7591831,,,,,ambig.design,,KT,,,,,
2778,"COYNE, JA; CHARLESWORTH, B",GENETIC-ANALYSIS OF X-LINKED STERILITY IN HYBRIDS BETWEEN 3 SIBLING SPECIES OF DROSOPHILA,HEREDITY,1989,68,,5,,,,399,404,,10.1038/hdy.1992.59,,,,,,,,WOS:A1992HR63800003,,,,,,ambig.design,,KD,,,,,
2798,"CARNIDE, V; ORELLANA, J; RIBEIRO, MAMD","NUCLEOLAR ORGANIZER ACTIVITY IN LOLIUM AND FESTUCA .1. LOLIUM-MULTIFLORUM, FESTUCA-ARUNDINACEA AND LOLIUM-FESTUCA HYBRIDS",HEREDITY,1986,67,,3,,,,331,345,,10.1038/hdy.1991.97,,,,,,,,WOS:A1991GT62700010,1774190,,,,,ambig.design,,KT,,,,,
3011,"Tsugeno, Y; Koyama, H; Takamatsu, T; Nakai, M; Kunimi, Y; Inoue, MN","Identification of an Early Male-Killing Agent in the Oriental Tea Tortrix, Homona magnanima",JOURNAL OF HEREDITY,2017,23,,2,,,,189,&,,10.1038/hdy.1968.27,,,,,,,,WOS:A1968B265200002,5245953,,,,,ambig.design,"no quantitative trait data, parent generation is same species that host different bacterial strains. Bacteria (or lack therof) is demonstrated to influence phenotypes (producing male offspring or not)",muc,,,,,
3044,"Taira, W; Nohara, C; Hiyama, A; Otaki, JM",Fukushima's Biological Impacts: The Case of the Pale Grass Blue Butterfly,JOURNAL OF HEREDITY,2014,7,1,,,,,73,79,,10.1038/hdy.1953.6,,,,,,,,WOS:A1953YC17400006,,,,,,ambig.design,no inter-population crosses; also looking at abnormal (nuclear accident) population,KT,,,,,
3318,"Kinziger, AP; Raesly, RL","A narrow hybrid zone between two Cottus species in Wills Creek, potomac drainage",JOURNAL OF HEREDITY,2001,95,3,,,,,265,267,,10.1093/jhered/esh030,,,,,,,,WOS:000222399600012,15220395,,,,,ambig.design,,muc,,,,,
3348,"Torabinejad, J; Caldwell, MM",Inheritance of UV-B tolerance in seven ecotypes of Arabidopsis thaliana L. Heynh. and their F-1 hybrids,JOURNAL OF HEREDITY,2000,94,1,,,,,95,106,,10.1093/jhered/esg008,,,,,,,,WOS:000182413500015,12692169,,,,,ambig.design,parent and hybrid data reported together,muc,,,,,
3375,"Schaeff, CM; Best, PB; Rowntree, VJ; Payne, R; Jarvis, C; Portway, VA",Dorsal skin color patterns among southern right whales (Eubalaena australis): Genetic basis and evolutionary significance,JOURNAL OF HEREDITY,1999,92,6,,,,,521,525,,10.1093/jhered/92.6.521,,,,,,,,WOS:000175116400015,11948224,,,,,ambig.design,,muc,,,,,
3406,"van Dam, NM; Hare, JD; Elle, E",Inheritance and distribution of trichome phenotypes in Datura wrightii,JOURNAL OF HEREDITY,1999,91,5,,,,,397,400,,10.1093/jhered/91.5.397,,,,,,,,WOS:000089129600008,10994707,,,,,ambig.design,,muc,,,,,
4470,"Goodale, HD",Dominant vs non-dominant genes - In the multiple factor hypothesis of size inheritance,JOURNAL OF HEREDITY,1932,29,3,,,,,101,112,,10.1093/oxfordjournals.jhered.a104463,,,,,,,,WOS:000200593600005,,,,,,ambig.design,review paper,KT,,,,,
5272,"Brommer, JE; Karell, P; Ahola, K; Karstinen, T","Residual correlations, and not individual properties, determine a nest defense boldness syndrome",BEHAVIORAL ECOLOGY,2014,,,,,,,,,,,,,,,,,,,,,,,,ambig.design,,KT,,,,,
5286,"Lehmann, L; Rousset, F","Fitness, inclusive fitness, and optimization",BIOLOGY & PHILOSOPHY,2014,,,,,,,,,,,,,,,,,,,,,,,,ambig.design,,KT,,,,,
5288,"Class, B; Kluen, E; Brommer, JE",Evolutionary quantitative genetics of behavioral responses to handling in a wild passerine,ECOLOGY AND EVOLUTION,2014,,,,,,,,,,,,,,,,,,,,,,,,ambig.design,,KT,,,,,
5291,"Adams, MJ",Feasibility and Uncertainty in Behavior Genetics for the Nonhuman Primate,INTERNATIONAL JOURNAL OF PRIMATOLOGY,2014,,,,,,,,,,,,,,,,,,,,,,,,ambig.design,,KT,,,,,
5300,"van Overveld, T; Careau, V; Adriaensen, F; Matthysen, E",Seasonal- and sex-specific correlations between dispersal and exploratory behaviour in the great tit,OECOLOGIA,2014,,,,,,,,,,,,,,,,,,,,,,,,ambig.design,,KT,,,,,
5301,"Bratko, D; Butkovic, A; Vukasovic, T; Kerestes, G; Brkovic, I",Personality Resemblance Between Parents and Offspring: Study of Five Factors Across Four Samples and Questionnaires,JOURNAL OF CHILD AND FAMILY STUDIES,2014,,,,,,,,,,,,,,,,,,,,,,,,ambig.design,,KT,,,,,
5324,"Dardenne, S; Ducatez, S; Cote, J; Poncin, P; Stevens, VM",Neophobia and social tolerance are related to breeding group size in a semi-colonial bird,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2013,,,,,,,,,,,,,,,,,,,,,,,,ambig.design,,KT,,,,,
5385,"Taylor, RW; Boon, AK; Dantzer, B; Reale, D; Humphries, MM; Boutin, S; Gorrell, JC; Coltman, DW; McAdam, AG","Low heritabilities, but genetic and maternal correlations between red squirrel behaviours",JOURNAL OF EVOLUTIONARY BIOLOGY,2012,,,,,,,,,,,,,,,,,,,,,,,,ambig.design,,KT,,,,,
5392,"Dick, DM; Kendler, KS",The Impact of Gene-Environment Interaction on Alcohol Use Disorders,ALCOHOL RESEARCH-CURRENT REVIEWS,2012,,,,,,,,,,,,,,,,,,,,,,,,ambig.design,,KT,,,,,
5433,"Moller, AP",Behavioral and life history responses to extreme climatic conditions: Studies on a migratory songbird,CURRENT ZOOLOGY,2011,,,,,,,,,,,,,,,,,,,,,,,,ambig.design,,KT,,,,,
5434,"DiBattista, JD; Feldheim, KA; Garant, D; Gruber, SH; Hendry, AP",Anthropogenic disturbance and evolutionary parameters: a lemon shark population experiencing habitat loss,EVOLUTIONARY APPLICATIONS,2011,,,,,,,,,,,,,,,,,,,,,,,,ambig.design,,KT,,,,,
5558,"Penke, L; Denissen, JJA; Miller, GF",The evolutionary genetics of personality,EUROPEAN JOURNAL OF PERSONALITY,2007,,,,,,,,,,,,,,,,,,,,,,,,ambig.design,,KT,,,,,
