Original_Order,author,title,journal,year,StudyID,collector,collected,CorMat_or_PC,F2,BC,Controlled_or_wild,N_gens_in_lab_for_P_gen,N_gens_note,data_source,data_notes,KTDONE,MUCDONE,Cormat_Done,Genetic_or_Phenotypic,CorMat_Notes
1,"McBride, CS; Singer, MC",Field Studies Reveal Strong Postmating Isolation between Ecologically Divergent Butterfly Populations,PLOS BIOLOGY,2010,McBride_2010,KT,yes,no,no,no,cross,0,,"Fig3A, Fig4A, Fig4C","Used PP and CC, not P and C. N is family number",1,0,,,
2,"MCPHAIL, JD","ECOLOGY AND EVOLUTION OF SYMPATRIC STICKLEBACKS (GASTEROSTEUS) - EVIDENCE FOR A SPECIES-PAIR IN PAXTON LAKE, TEXADA-ISLAND, BRITISH-COLUMBIA",CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE,1992,MCPHAIL_1992,MUC,yes,no,yes,no,cross,0,wildcaught P,Tables 5 & 6,Assumed F1 hybrid cross direction was female first,0,1,,,
3,"Ahn, DG; Gibson, G",Axial variation in the threespine stickleback: genetic and environmental factors,EVOLUTION & DEVELOPMENT,1999,Ahn_1999,MUC,yes,yes,no,no,cross,2,parents inbred,Table 3,"sample size in Fig2 Caption, parents are 'F2'. PC data in Fig 2 unextractable with any accuracy; factor loadings given",0,1,NA,,
4,"Plath, M; Strecker, U",Behavioral diversification in a young species flock of pupfish (Cyprionodon spp.): shoaling and aggressive behavior,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2008,Plath_2008,MUC,yes,no,no,no,cross,3,2 or 3 gen,"Fig 3,4, Table 2","n for aggressive behaviours represents number of groups not indiviuals because trait is 'emergent', n_reps in text",0,1,,,
5,"ARNOLD, SJ","BEHAVIORAL VARIATION IN NATURAL-POPULATIONS .2. THE INHERITANCE OF A FEEDING RESPONSE IN CROSSES BETWEEN GEOGRAPHIC RACES OF THE GARTER SNAKE, THAMNOPHIS-ELEGANS",EVOLUTION,1981,ARNOLD_1981,MUC,yes,no,no,no,cross,1,both wild and laboratory parents used in crosses,Fig 1,"HISTOGRAM no variance measures, figure was frequency data of a feeding score - I took the frequency of the score values, multiplied them by the correct score, added and then divided by the sample size to get mean feeding score values and calculated SD according to KT's instructions. For data cross directions are combined",0,1,,,
6,"AbGhani, NI; Herczeg, G; Merila, J",Body size divergence in nine-spined sticklebacks: disentangling additive genetic and maternal effects,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,2012,AbGhani_2012,MUC,yes,no,no,no,cross,0,,sl data in fig 2,crosses done in the wild,0,1,,,
7,"Raeymaekers, JAM; Boisjoly, M; Delaire, L; Berner, D; Rasanen, K; Hendry, AP","Testing for mating isolation between ecotypes: laboratory experiments with lake, stream and hybrid stickleback",JOURNAL OF EVOLUTIONARY BIOLOGY,2010,Raeymaekers_2010,KT,yes,no,no,no,cross,2,F2 lab fish; f1s crossed to generate experimental fish,Table 1,,1,0,,,
8,"Vamosi, SM; Schluter, D",Impacts of trout predation on fitness of sympatric sticklebacks and their hybrids,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2002,Vamosi_2002,KT,yes,no,no,no,cross,0,,Table 2,,1,0,,,
9,"Lemmon, EM; Lemmon, AR",REINFORCEMENT IN CHORUS FROGS: LIFETIME FITNESS ESTIMATES INCLUDING INTRINSIC NATURAL SELECTION AND SEXUAL SELECTION AGAINST HYBRIDS,EVOLUTION,2010,Lemmon_2010,KT,yes,no,no,no,wild,0,,"Table 3, sample size from counting circles in fig 5",,1,0,,,
10,"Rogers, SM; Gagnon, V; Bernatchez, L",Genetically based phenotype-environment association for swimming behavior in lake whitefish ecotypes (Coregonus clupeaformis Mitchill),EVOLUTION,2002,Rogers_2002,KT,yes,no,no,no,cross,0,,Table 1,SD calculated manually,1,0,,,
11,"Svedin, N; Wiley, C; Veen, T; Gustafsson, L; Qvarnstrom, A",Natural and sexual selection against hybrid flycatchers,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2008,Svedin_2008,KT,yes,no,no,no,wild,NA,,"PCs extracted manually from Fig1, rest Table 1",,1,0,,,
12,"Grosch, K",Hybridization between two insectivorous bird species and the effect on prey-handling efficiency,EVOLUTIONARY ECOLOGY,2003,Grosch_2003,KT,yes,no,no,no,cross,0,"Wild birds collected as nestlings and hybrids bred in aviaries, but all birds raised in common environment from 9 days onward",Table 7 (morphology).,"Behavioural data not in paper but they say verbally everybody was the same. Correlation matrix was for F1 and not same across groups. All hybrids in same direction (Black M, Common F).",1,0,,,
13,"Henry, CS; Wells, MLM; Holsinger, KE","The inheritance of mating songs in two cryptic, sibling lacewing species (Neuroptera : Chrysopidae : Chrysoperla)",GENETICA,2002,Henry_2002,KT,yes,yes,yes,yes,cross,0,gravid in field or lab,Table 1,Could get correlations from PC if needed,1,0,NA,,
14,"Koelling, VA; Mauricio, R",GENETIC FACTORS ASSOCIATED WITH MATING SYSTEM CAUSE A PARTIAL REPRODUCTIVE BARRIER BETWEEN TWO PARAPATRIC SPECIES OF LEAVENWORTHIA ( BRASSICACEAE),AMERICAN JOURNAL OF BOTANY,2010,Koelling_2010,KT,yes,yes,yes,yes,cross,0,,Koelling Thesis Table 3.1 (http://purl.galileo.usg.edu/uga_etd/koelling_vanessa_a_200808_phd),PCs in oringial paper. BCs pooled for both diections so not used. SE data a bit suspicous for parental pops.,1,0,NA,,
15,"Galindo, J; Rivas, MJ; Saura, M; Rolan-Alvarez, E",Selection on hybrids of ecologically divergent ecotypes of a marine snail: the relative importance of exogenous and endogenous barriers,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,2014,Galindo_2014,KT,yes,no,no,yes,cross,0,,Table 1,Only 'lab' used,1,0,,,
17,"Lowry, DB; Willis, JH","A Widespread Chromosomal Inversion Polymorphism Contributes to a Major Life-History Transition, Local Adaptation, and Reproductive Isolation",PLOS BIOLOGY,2010,Lowry_2010,KT,yes,no,yes,no,cross,7,Correspondance with D. Lowry indicates that parental lines were < 7 generations selfed,Table S3; data pooled across populations within ecotype,,1,0,,,
18,"Xue, HJ; Magalhaes, S; Li, WZ; Yang, XK",Reproductive barriers between two sympatric beetle species specialized on different host plants,JOURNAL OF EVOLUTIONARY BIOLOGY,2009,Xue_2009,KT,yes,no,no,yes,cross,0,,Table 1,CIs given,1,0,,,
19,"Barson, NJ; Knight, ME; Turner, GF",The genetic architecture of male colour differences between a sympatric Lake Malawi cichlid species pair,JOURNAL OF EVOLUTIONARY BIOLOGY,2007,Barson_2007,KT,yes,yes,yes,yes,cross,0,,table 2,can get correlation from fig 2; sample sizes in text,1,0,No,,
20,"O'Quin, CT; Drilea, AC; Roberts, RB; Kocher, TD",A Small Number of Genes Underlie Male Pigmentation Traits in Lake Malawi Cichlid Fishes,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,2012,O'Quin_2012,KT,yes,yes,yes,no,cross,1,"Author correspondance, all fish 1st gen or wild-caught","table 1, fig 3",Cormat in table 2;,1,0,Yes,Only 0 < P < 0.05 given; also bonferonni reported but I am just calculating 'raw' p,
21,"Mione, T; Anderson, GJ",Genetics of floral traits of Jaltomata procumbens (Solanaceae),BRITTONIA,2017,Mione_2017,KT,yes,yes,yes,no,cross,0,,traits: table2. cormat: table 3,,1,0,Yes,P levels are given ,
22,"Vedenina, VY; Panyutin, AK; Von Helversen, O",The unusual inheritance pattern of the courtship songs in closely related grasshopper species of the Chorthippus albomarginatus-group (Orthoptera : Gomphocerinae),JOURNAL OF EVOLUTIONARY BIOLOGY,2007,Vedenina_2007,KT,yes,no,yes,yes,cross,0,,"Table 1, Table 3, Fig 7",Whether individuals did particular behaviour (trait 9) is discrete but plausibly variable across trials.,1,0,NA,,
23,"Oh, KP; Fergus, DJ; Grace, JL; Shaw, KL",Interspecific genetics of speciation phenotypes: song and preference coevolution in Hawaiian crickets,JOURNAL OF EVOLUTIONARY BIOLOGY,2012,Oh_2012,KT,yes,no,yes,no,cross,0,,Table 1,Collected seperately for different cross dir,1,0,,,
24,"Saldamando, CI; Miyaguchi, S; Tatsuta, H; Kishino, H; Bridle, JR; Butlin, RK","Inheritance of song and stridulatory peg number divergence between Chorthippus brunneus and C-jacobsi, two naturally hybridizing grasshopper species (Orthoptera : Acrididae)",JOURNAL OF EVOLUTIONARY BIOLOGY,2005,Saldamando_2005,KT,yes,yes,no,yes,cross,0,,Table 2,can get cormat from table 4,1,0,Yes,The one significant is not after bonferonni,
25,"Blankers, T; Lubke, AK; Hennig, RM",Phenotypic variation and covariation indicate high evolvability of acoustic communication in crickets,JOURNAL OF EVOLUTIONARY BIOLOGY,2015,Blankers_2015,KT,yes,yes,yes,no,cross,1,offspring of wild-collected females used,Table 1 & 2,Cormat in Fig3 & 4,1,0,Yes,Used F2 cormat,
26,"Haesler, MP; Seehausen, O",Inheritance of female mating preference in a sympatric sibling species pair of Lake Victoria cichlids: implications for speciation,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2005,Haesler_2005,KT,yes,no,yes,no,cross,10,"Fish in labs since 1992 (from Seehausen & Van Alphen reference); experiments conducted in 2000,2001/2; 10 or fewer generations; I put 10 to be conservative.",Table 1,Used 2000 and 2001-2002 pooled,1,0,,,
27,"Shaw, KL",Polygenic inheritance of a behavioral phenotype: Interspecific genetics of song in the Hawaiian cricket genus Laupala,EVOLUTION,1996,Shaw_1996,KT,yes,no,yes,yes,cross,0,wild-caught,Table 4,,1,0,,,
28,"LAMB, T; AVISE, JC",MORPHOLOGICAL VARIABILITY IN GENETICALLY DEFINED CATEGORIES OF ANURAN HYBRIDS,EVOLUTION,1987,LAMB_1987,KT,yes,no,no,yes,wild,NA,,Table 2; Fig 2,Assume n counted from Fig 2 is same as n for data in Table 2. Backcross gen unknown so not used. Histogram data,1,0,,,
