studycross,sp 1,sp 2,intra_inter
AbGhani_2012 A,Pungitius pungitius,Pungitius pungitius,intra
Ahn_1999 A,Gasterosteus aculeatus,Gasterosteus aculeatus,intra
Albertson_2003 A,Labeotropheus fuelleborni,Metriaclima zebra,inter
ANDERSSON_1991 A,Crepis tectorum,Crepis tectorum,intra
ANDERSSON_1993 A,Crepis tectorum,Crepis tectorum,intra
ANDERSSON_1993 B,Crepis tectorum,Crepis tectorum,intra
ANDERSSON_1995 A,Crepis tectorum,Crepis tectorum,intra
ANDERSSON_1995 B,Crepis tectorum,Crepis tectorum,intra
ANDERSSON_1995 C,Crepis tectorum,Crepis tectorum,intra
Anton_2013 A,Piriqueta cistoides,Piriqueta cistoides,intra
ARNOLD_1981 A,Thamnophis elegans,Thamnophis elegans,intra
ARNOLD_1981 B,Thamnophis elegans,Thamnophis elegans,intra
Auffray_2001 A,Mus musculus,Mus musculus,intra
Barson_2007 A,Pseudotropheus zebra,Pseudotropheus zebragold,inter
Bendall_2017 A,Neodiprion pinetum,Neodiprion lecontei,inter
Bertel_2016 A,Heliosperma pusillum,Heliosperma veselskyi,inter
Blankers_2015 A,Gryllus rubens,Gryllus texensis,inter
Bog_2017 A,Senecio hercynicus,Senecio ovatus,inter
Bog_2017 B,Senecio ovatus,Senecio germanicus,inter
Bowles_2016 A,Gasterosteus aculeatus,Gasterosteus aculeatus,intra
Bradshaw_1998 A,Mimulus cardinalis,Mimulus lewisii,inter
Bratteler_2006a A,Silene vulgaris,Silene vulgaris,intra
Brodie_1997 A,Chondrus pinnulatus,Chondrus armatus,inter
Brothers_2013 A,Iris fulva,Iris hexagona,inter
Burton_2000 A,Chamerion angustifolium,Chamerion angustifolium,intra
BYRNE_1994 A,Patiriella calcar,Patiriella gunnii,inter
Caillaud_2012 A,Acyrthosiphon pisum,Acyrthosiphon pisum,intra
Campbell_2005 A,Ipomopsis aggregata,Ipomopsis tenuituba,inter
Chen_2013a A,Costus allenii,Costus villosissimus,inter
Chen_2013b A,Mimulus guttatus,Mimulus platycalyx,inter
Chen_2013b B,Mimulus guttatus,Mimulus micranthus,inter
Chen_2013b C,Mimulus platycalyx,Mimulus micranthus,inter
Comes_1996 A,Senecio vulgaris,Senecio vulgaris,intra
Comes_1996 B,Senecio vernalis,Senecio vernalis,intra
Concannon_2015 A,Labeotropheus fuelleborni,Tropheops red,inter
Craig_2001a A,Eurosta solidaginis,Eurosta solidaginis,intra
Craig_2001b A,Oncorhynchus nerka,Oncorhynchus nerka,intra
Dalziel_2012 A,Gasterosteus aculeatus,Gasterosteus aculeatus,intra
Dalziel_2012 B,Gasterosteus aculeatus,Gasterosteus aculeatus,intra
David_2002 A,Drosophila simulans,Drosophila melanogaster,inter
David_2002 B,Drosophila simulans,Drosophila melanogaster,inter
David_2002 C,Drosophila simulans,Drosophila melanogaster,inter
David_2002 D,Drosophila simulans,Drosophila melanogaster,inter
David_2002 E,Drosophila simulans,Drosophila melanogaster,inter
David_2002 F,Drosophila simulans,Drosophila melanogaster,inter
David_2002 G,Drosophila simulans,Drosophila melanogaster,inter
David_2002 H,Drosophila simulans,Drosophila melanogaster,inter
David_2002 I,Drosophila simulans,Drosophila melanogaster,inter
Driebe_2000 A,Populus angustifolia,Populus fremontii,inter
Echave_2017 A,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,intra
Egan_2011 A,Neochlamisus bebbianae,Neochlamisus bebbianae,intra
Emms_2000 A,Iris hexagona,Iris fulva,inter
Fatouros_2006 A,Chrysomela lapponica,Chrysomela lapponica,intra
Favre_2011 A,Silene dioica,Silene latifolia,inter
FENSTER_1994b A,Mimulus micranthus,Mimulus guttatus,inter
FENSTER_1994b B,Mimulus micranthus,Mimulus nasutus,inter
FENSTER_1994b C,Mimulus laciniatus,Mimulus guttatus,inter
FENSTER_1994b D,Mimulus laciniatus,Mimulus nasutus,inter
FENSTER_1994b E,Mimulus guttatus,Mimulus nasutus,inter
Ferris_2017 A,Mimulus guttatus,Mimulus laciniatus,inter
Finck_2017 A,Chorthippus biguttulus,Chorthippus mollis,inter
Fishman_2002 A,Mimulus guttatus,Mimulus nasutus,inter
Fishman_2004 A,Arenaria uniflora,Arenaria uniflora,intra
Fishman_2015 A,Mimulus lewisii,Mimulus parishii,inter
Forister_2005 A,Mitoura nelsoni,Mitoura muiri,inter
FRITZ_1974 A,Fundulus diaphanus,Fundulus heteroclitus,inter
Galindo_2014 A,Littorina saxatilis,Littorina saxatilis,intra
Galliot_2006 A,Petunia itegrifolia,Petunia axilaris,inter
Galloway_2001 A,Chamaecrista fasciculata,Chamaecrista fasciculata,intra
Giesen_2017 A,Sepsis neocynipsea,Sepsis cynipsea,inter
Gottsberger_2007 A,Chorthippus biguttulus,Chorthippus brunneus,inter
Grant_1994 A,Geospiza fortis,Geospiza fuliginosa,inter
Grant_1994 B,Geospiza fortis,Geospiza scandens,inter
Grosch_2003 A,Phoenicurus phoenicurus,Phoenicurus ochruros,inter
Grula_1980 A,Colias eurytheme,Colias philodice,inter
Haesler_2005 A,Pundamilia nyererei,Pundamilia pundamilia,inter
Hall_2006 A,Mimulus guttatus,Mimulus guttatus,intra
Hangartner_2012 A,Rana arvalis,Rana arvalis,intra
Hatfield_1999 A,Gasterosteus aculeatus,Gasterosteus aculeatus,intra
HAYES_1987 A,Oncopeltus fasciatus,Oncopeltus fasciatus,intra
Hendrickx_2008 A,Pirata piraticus,Pirata piraticus,intra
Henry_2002 A,Chrysoperla plorabunda,Chrysoperla johnsoni,inter
Hermann_2015 A,Petunia exserta,Petunia axilaris,inter
Holtmeier_2001 A,Cyprinodon desquamator,Cyprinodon brontotheroides,inter
Holtmeier_2001 B,Cyprinodon brontotheroides,Cyprinodon variegatus,inter
Hopper_1978 A,Anigozanthos manglesii,Anigozanthos humilis,inter
Hora_2005 A,Yponomeuta cagnagellus,Yponomeuta padellus,inter
Hora_2005 B,Yponomeuta cagnagellus,Yponomeuta malinellus,inter
Husemann_2017 A,Maylandia benetos,Maylandia zebra,inter
Ikten_2011 A,Ostrinia nubilalis,Ostrinia nubilalis,intra
Ippolito_2004 A,Nicotiana alata,Nicotiana forgetiana,inter
Jacquemyn_2012 A,Orchis militaris,Orchis purpurea,inter
Jancuchova-Laskova_2015 A,Eublepharis angramainyu,Eublepharis macularis,inter
Johnston_2004 A,Iris brevicaulis,Iris fulva,inter
Katoh_1996 A,Viviparus ater,Viviparus contectus,inter
Keena_2007 A,Lymantria dispar,Lymantria dispar,intra
Keese_1996 A,Ophraella slobodkini,Ophraella notulata,inter
Keller_2016 A,Primula elatior,Primula vulgaris,inter
Kimball_2009 A,Penstemon newberryi,Penstemon davidsonii,inter
Knowlton_2014 A,Himatione sanguinea,Vestiaria coccinea,inter
Koelling_2010 A,Leavenworthia alabamica,Leavenworthia crassa,inter
Kohn_2001 A,Saguinus fuscicollis,Saguinus fuscicollis,intra
Kohn_2001 B,Saguinus fuscicollis,Saguinus fuscicollis,intra
Kokita_2017 A,Leucopsarion petersii,Leucopsarion petersii,intra
Konuma_2013 A,Damaster blaptoides,Damaster blaptoides,intra
Kronforst_2006 A,Heliconius pachinus,Heliconius cydno,inter
Lair_1997 A,Wyeomyia smithii,Wyeomyia smithii,intra
Lair_1997 B,Wyeomyia smithii,Wyeomyia smithii,intra
Lair_1997 C,Wyeomyia smithii,Wyeomyia smithii,intra
Lair_1997 D,Wyeomyia smithii,Wyeomyia smithii,intra
Lair_1997 E,Wyeomyia smithii,Wyeomyia smithii,intra
Lair_1997 F,Wyeomyia smithii,Wyeomyia smithii,intra
Lair_1997 G,Wyeomyia smithii,Wyeomyia smithii,intra
LAMB_1987 A,Hyla cinerea,Hyla gratiosa,inter
Larcombe_2016 A,Eucalyptus globulus,Eucalyptus nitens,inter
LARGIADER_1994 A,Gerris costae,Gerris costae,intra
Laugen_2002 A,Rana temporaria,Rana temporaria,intra
LEGNER_1987 A,Muscidifurax raptorellus,Muscidifurax raptorellus,intra
Lehmann_2016 A,Leptinotarsa decemlineata,Leptinotarsa decemlineata,intra
Lehtinen_2016 A,Plethodon cinereus,Plethodon electromorphus,inter
Leinonen_2011 A,Arabidopsis lyrata,Arabidopsis lyrata,intra
Lemmon_2010 A,Pseudacris feriarum,Pseudacris nigrita,inter
Leotard_2008 A,Leonardoxa africana,Leonardoxa africana,intra
LEWIS_1959 A,Delphinium recurvatum,Delphinium hesperium,inter
Liu_2013 A,Potamogeton wrightii,Potamogeton perfoliatus,inter
Loveless_2010 A,Poecilia mexicana,Poecilia velifera,inter
Lowry_2010 A,Mimulus guttatus,Mimulus guttatus,intra
Machado-Schiaffino_2014 A,Amphilophus labiatus,Amphilophus citrinellus,inter
MACNAIR_1989 A,Mimulus guttatus,Mimulus cupriphilus,inter
Martin_2007a A,Mimulus nasutus,Mimulus guttatus,inter
Matsubayashi_2009 A,Henosepilachna vigintioctomaculata,Henosepilachna pustulosa,inter
McBride_2010 A,Euphydryas editha,Euphydryas editha,intra
MCPHAIL_1992 A,Gasterosteus aculeatus,Gasterosteus aculeatus,intra
Merot_2015 A,Heliconius melpomene,Heliconius timareta,inter
Merrill_2013 A,Heliconius melpomene,Heliconius cydno,inter
Mione_2017 A,Jaltomata procumbens,Jaltomata procumbens,intra
Mirzaie-Nodoushan_1999 A,Trifolium pratense,Trifolium pratense,intra
Moccia_2007 A,Anacamptis morio,Anacamptis papilionacea,inter
Monti_1997 A,Spodoptera latifascia,Spodoptera descoinsi,inter
Naisbit_2001 A,Heliconius melpomene,Heliconius cydno,inter
Nakazato_2013 A,Ipomopsis tenuifolia,Ipomopsis guttata,inter
Ng_2013 A,Anolis distichus,Anolis distichus,intra
Noh_2015 A,Chrysoperla agilis,Chrysoperla carnea,inter
Nygren_2006 A,Polygonia c-album,Polygonia c-album,intra
Nygren_2006 B,Polygonia c-album,Polygonia c-album,intra
