StudyID,TraitNo,TraitDesc,TraitType,PC,Sex,Parent_Hybrid,Species_or_CrossType,Cross_Name,Cross_Dir,Dam.Parent1,Sire.Parent2,Trait_mean,Trait_var,Trait_var_Cat,Trait_n,CI.Letters,Ambig.Perf,Cross_ID,ParentID,Parents_Identical,Trait_mean2,Trait_mean_sub,Trait.mean.scaled,Trait.mean.scaled.zero,Trait.mean.div.by.max.sub.1,MaxSub1.Div.Min
Hatfield_1999,1,Mass,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Benthic,Benthic,NA,NA,NA,1.39,0.19,SD,24,NA,NA,A,A,FALSE,1.39,0,-0,-1,0,1
Hatfield_1999,2,Standard_length,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Benthic,Benthic,NA,NA,NA,3.87,0.03,SD,24,NA,NA,A,A,FALSE,3.87,0,0,-1,-0.01526717557251911,0
Hatfield_1999,3,Body_depth,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Benthic,Benthic,NA,NA,NA,2.38,0.03,SD,24,NA,NA,A,A,FALSE,2.38,0,-0,-1,0,1
Hatfield_1999,4,Mouth_width,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Benthic,Benthic,NA,NA,NA,1.52,0.04,SD,24,NA,NA,A,A,FALSE,1.52,0,-0,-1,0,1
Hatfield_1999,5,Gill_Rakers,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Benthic,Benthic,NA,NA,NA,18,1.54,SD,24,NA,NA,A,A,FALSE,18,0,0,-1,-0.2468619246861924,0
Hatfield_1999,6,Gill_raker_length,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Benthic,Benthic,NA,NA,NA,0.05,0.09,SD,24,NA,NA,A,A,FALSE,0.05,0,0,-1,-0.8780487804878049,0
Hatfield_1999,7,Pelvic_spine_length,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Benthic,Benthic,NA,NA,NA,-0.05,0.16,SD,24,NA,NA,A,A,FALSE,-0.05,0,0,-1,-1.0271739130434783,0
Hatfield_1999,8,Plate_number,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Benthic,Benthic,NA,NA,NA,2.19,2.29,SD,24,NA,NA,A,A,FALSE,2.19,0,0,-1,-0.82890625,0
Hatfield_1999,1,Mass,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Limnetic,Limnetic,NA,NA,NA,1.07,0.21,SD,24,NA,NA,A,B,FALSE,1.07,-0.31999999999999984,1,1,-0.2302158273381294,0
Hatfield_1999,2,Standard_length,Morphology,No,NA,Parent,Gasterosteus_aculeatus_Paxton_Limnetic,Limnetic,NA,NA,NA,3.93,0.02,SD,24,NA,NA,A,B,FALSE,3.93,0.06000000000000005,1,1,0,1
