studycross,sp 1,sp 2
Albertson_2003 A,Labeotropheus fuelleborni,Metriaclima zebra
Barson_2007 A,Pseudotropheus zebra,Pseudotropheus zebragold
Bendall_2017 A,Neodiprion pinetum,Neodiprion lecontei
Bertel_2016 A,Heliosperma pusillum,Heliosperma veselskyi
Blankers_2015 A,Gryllus rubens,Gryllus texensis
Bog_2017 A,Senecio hercynicus,Senecio ovatus
Bog_2017 B,Senecio ovatus,Senecio germanicus
Bradshaw_1998 A,Mimulus cardinalis,Mimulus lewisii
Brodie_1997 A,Chondrus pinnulatus,Chondrus armatus
Brothers_2013 A,Iris fulva,Iris hexagona
BYRNE_1994 A,Patiriella calcar,Patiriella gunnii
Campbell_2005 A,Ipomopsis aggregata,Ipomopsis tenuituba
Chen_2013a A,Costus allenii,Costus villosissimus
Chen_2013b A,Mimulus guttatus,Mimulus platycalyx
Chen_2013b B,Mimulus guttatus,Mimulus micranthus
Chen_2013b C,Mimulus platycalyx,Mimulus micranthus
Concannon_2015 A,Labeotropheus fuelleborni,Tropheops red
David_2002 A,Drosophila simulans,Drosophila melanogaster
David_2002 B,Drosophila simulans,Drosophila melanogaster
David_2002 C,Drosophila simulans,Drosophila melanogaster
David_2002 D,Drosophila simulans,Drosophila melanogaster
David_2002 E,Drosophila simulans,Drosophila melanogaster
David_2002 F,Drosophila simulans,Drosophila melanogaster
David_2002 G,Drosophila simulans,Drosophila melanogaster
David_2002 H,Drosophila simulans,Drosophila melanogaster
David_2002 I,Drosophila simulans,Drosophila melanogaster
Driebe_2000 A,Populus angustifolia,Populus fremontii
Emms_2000 A,Iris hexagona,Iris fulva
Favre_2011 A,Silene dioica,Silene latifolia
FENSTER_1994b A,Mimulus micranthus,Mimulus guttatus
FENSTER_1994b B,Mimulus micranthus,Mimulus nasutus
FENSTER_1994b C,Mimulus laciniatus,Mimulus guttatus
FENSTER_1994b D,Mimulus laciniatus,Mimulus nasutus
FENSTER_1994b E,Mimulus guttatus,Mimulus nasutus
Ferris_2017 A,Mimulus guttatus,Mimulus laciniatus
Finck_2017 A,Chorthippus biguttulus,Chorthippus mollis
Fishman_2002 A,Mimulus guttatus,Mimulus nasutus
Fishman_2015 A,Mimulus lewisii,Mimulus parishii
Forister_2005 A,Mitoura nelsoni,Mitoura muiri
FRITZ_1974 A,Fundulus diaphanus,Fundulus heteroclitus
Galliot_2006 A,Petunia itegrifolia,Petunia axilaris
Giesen_2017 A,Sepsis neocynipsea,Sepsis cynipsea
Gottsberger_2007 A,Chorthippus biguttulus,Chorthippus brunneus
